,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_j,ratingHashReview_j,ratingAccountReview_j,ratingNoTweet_q,ratingHashReview_q,ratingAccountReview_q,ratingTwitter3_j,ratingTwitter4_j,ratingTwitter3_q,ratingTwitter4_q,ratingLike_j,ratingLike_q,ratingView_j,ratingView_q,ratingWebsite_j,ratingWebsite_q,finalRating1,finalRating2,finalRating3,finalRating4
835,zearet17,????? Boy Love Secret Room,"1,623",???????????????????????????????????????? ???????????????? ????????????? ??????????????? ????????????,"4,518",??,20,https://cdn.readawrite.com/articles/1716/1715038/thumbnail/,600,,Fortune of Love #?????????,160612,,?????????,12,6,3,1,4,4,4,5,5,3,2.5,4.7,4.5,2,5,2,5,2,5,4.3,4.7,4.8,4.7
861,sweetsalmon,????? Boy Love Lovely Room,"8,734",????????????????????????????????????? ??????????????????????????????????????????????????????????????,"8,198",??,50,https://cdn.readawrite.com/articles/1781/1780567/thumbnail/,2163,"Boy love / Yaoi / ?????????,??????",[END] Laboratory no.9 #?????????????,677162,,?????????????,11,3,3,1,4,3,4,5,3.8,2.7,2.2,4.3,4.2,3,5,3,5,3,5,4.3,4.7,4.5,4.5
583,????,????? Boy Love Lovely Room,"9,499",?????????????? ????????????? ???????????????????????????,"14,293",??,21,https://cdn.readawrite.com/articles/1539/1538719/thumbnail/,3190,"Boy Love/Yaoi,????????,????????,?????????????,??????,?????????",Your voice #??????????,754482,,??????????,9,4,1,1,2,3,4,3.3,5,2,1.8,4.1,4.1,4,5,3,5,3.3,5,4.3,4.1,4.4,4.4
169,Poydswat.,????? Boy Love Lovely Room,"3,443",?????????????????????????????????????????????????? ?????????????????????????????????????????????????,"4,858",??,38,https://cdn.readawrite.com/articles/2062/2061113/thumbnail/,896,"omegaverse,Boy Love/Yaoi,18+,????????,????????,?????????????,Mpreg,????????????,?????????????,?????????????,??????????????????,?????????????",[Omegaverse] Never ?mega in the army (#????????????),305172,,????????????,10,3,2,1,3,3,4,3.3,3.8,2.3,2,3.7,3.8,2,5,2,5,2,5,4.3,4.1,4.1,4.2
332,???.,????? Boy Love Lovely Room,"9,802",???????????????????????????????????,"24,808",??,14,https://cdn.readawrite.com/articles/2255/2254622/thumbnail/,3937,"18+,Boy Love/Yaoi,????????,?????????????,????????",#??????????????????????,1119565,,??????????????????????,8,1,1,1,2,2,4,3.3,2.5,1.7,1.5,3.3,3.4,4,5,3,5,3.3,5,4.3,4.1,3.9,3.9
657,??????,????? Boy Love Lovely Room,"1,326",????????????????????????????????????????????????????????????????????????? ??????????????????????????,"4,014",??,28,https://cdn.readawrite.com/articles/1615/1614156/thumbnail/,585,"Boy Love/Yaoi,????????,????????,?????????????,omegaverse,????????",[Omega] Come back to count from \'ZERO\' #????????,230418,,????????,13,1,1,1,2,2,4,3.3,2.5,1.7,1.5,3.3,3.4,2,5,2,5,2,5,4.3,4.1,3.9,3.9
26,????????,????? Boy Love Lovely Room,507,‘??????????????? ?????????????????????????????????’,653,??,19,https://cdn.readawrite.com/articles/1931/1930716/thumbnail/,108,"twosides,drama,Boy Love/Yaoi,????,???????,?????????,??????",Two Sides #?????????,17747,,?????????,10,0,1,1,2,2,4,3.3,1.3,1.7,1.5,2.9,3.2,1,5,1,5,1,5,4.3,4.1,3.6,3.8
809,????????,????? Boy Love Secret Room,"1,625",???????????????????????????????????????????????? ??????????????????????????????! ???????????????????,"3,215",??,45,https://cdn.readawrite.com/articles/1742/1741580/thumbnail/,571,"??????,????????,???????,Yaoi,bl",Mr.Lee #???????,184394,,???????,8,0,1,1,2,2,4,3.3,1.3,1.7,1.5,2.9,3.2,2,5,2,5,2,5,4.3,4.1,3.6,3.8
918,aititun?,????? Boy Love Lovely Room,"1,721",?????????????????????????????????? ????????????????????????????????????????,"5,993",??,12,https://cdn.readawrite.com/articles/1832/1831959/thumbnail/,677,"Boy Love/Yaoi,????????,18+,Mpreg,omegaverse,?????????????????",1st #????????????????? [Omegaverse],138924,,?????????????????,11,0,2,1,3,2,4,3.3,1.3,2,1.8,2.9,3.2,2,5,1,5,1.3,5,4.3,4.1,3.6,3.8
990,Black Aye,????? Boy Love Lovely Room,369,???????????????????????????????????? ???????????????????????????????????????????????????????? ??? ??,643,??,25,https://cdn.readawrite.com/articles/1901/1900698/thumbnail/,126,"????????????,????????,?????????????",#????????????????? (Yaoi),33455,,?????????????????,11,0,1,1,2,2,4,3.3,1.3,1.7,1.5,2.9,3.2,1,5,1,5,1,5,4.3,4.1,3.6,3.8
