,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
3675,ดอกมงดอกไม้,นิยาย Girl Love/ Yuri,4,"ฉัน ""พิรุณ"" หลังจากได้รับการวินิฉัยว่าเป็นโรคซึมเศร้าระดับรุนแรง จึงกลายมาเป็นคนว่างงาน ใช้ชีวิตที่ว",17.0,จบ,3.0,https://cdn.readawrite.com/articles/2053/2052284/thumbnail/small.gif,4.0,"Girl Love/Yuri,18+,นิยายรัก,นิยายโรแมนติก,Yuri,หญิงรักหญิง,ดราม่า",MDD ฤดูฝนที่ยาวนาน [ YURI ],https://www.readawrite.com/a/z1cubo,269,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3676,Tiger Sheep,นิยาย Girl Love/ Yuri,7,ในยุควันสิ้นโลก หลังจากการระบาดของไวรัสซอมบี้ 30 ปี แม้ผู้คนเริ่มจะปรับตัวให้เข้ากับยุคสมัยได้แล้ว ท,10.0,จบ,7.0,https://cdn.readawrite.com/articles/2053/2052921/thumbnail/small.gif,6.0,"Girl Love/Yuri,นิยายแฟนตาซี,Yuri,หญิงรักหญิง",Pandemic Virus of Doomsday หายนะวันสิ้นโลก(yuri),https://www.readawrite.com/a/z1cutv,473,,,,,,0.0,0.0,2.0,1.0,1.0,1.3,1.0,1.0,1.0,1.0,1.3,1.3
3677,เฟย หง,นิยาย Girl Love/ Yuri,18,เรื่องราวสั้นๆของสามพี่น้อง,44.0,จบ,10.0,https://cdn.readawrite.com/articles/2052/2051983/thumbnail/small.gif,12.0,"นิยายจีนโบราณ,นิยายยูริ นิยายyuri นิยายหญิงรักหญิง,นิยายชายหญิง",三บุรุษอวิ๋นฉาง,https://www.readawrite.com/a/z1cu33,2261,,,,,,0.0,0.0,3.0,2.0,2.0,2.3,1.4,1.5,1.8,1.8,2.3,2.3
3678,ฟ้าสีรุ้งสร้างฝัน,นิยาย Girl Love/ Yuri,72,ผู้หญิงมาทีหลัง มักถูกตราหน้า ว่าพวกเธอเป็น เมียน้อย ,194.0,จบ,22.0,https://cdn.readawrite.com/articles/2054/2053515/thumbnail/small.gif,36.0,"18+,Girl Love/Yuri,ดราม่า,นิยายรัก,หญิงรักหญิง,Yuri",เมียน้อย..จำเป็น,https://www.readawrite.com/a/z1cvbu,20076,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,2.4,2.5,3.0,3.1,4.0,4.0
3679,แมวสีแดง,นิยาย Girl Love/ Yuri,7,ในระหว่างทางกลับบ้านอยู่นั้น..ด้วยความไม่ได้ดูทางหรืออะไรก็แล้วแต่ทำให้ฉันได้มาต่างโลกค่ะ,42.0,จบ,2.0,https://cdn.readawrite.com/articles/2054/2053811/thumbnail/small.gif,5.0,"เกิดใหม่,#ตลก,โรงเรียน",ฉันนี่แหละที่จะทำให้วงการนางร้ายสั่นเทือน,https://www.readawrite.com/a/z1cvkb,306,,,,,,0.0,0.0,2.0,1.0,2.0,1.7,1.0,1.0,1.2,1.3,1.7,1.6
3680,mallory ledger,นิยาย Girl Love/ Yuri,8,ฟังเรื่องผีจากคนมาเยอะแล้ว มาฟังจากผีบ้างไหมล่ะ ,22.0,จบ,1.0,https://cdn.readawrite.com/articles/2055/2054023/thumbnail/small.gif,6.0,,ผีในห้อง,https://www.readawrite.com/a/z1cvqd,224,,,,,,0.0,0.0,2.0,1.0,2.0,1.7,1.0,1.0,1.2,1.3,1.7,1.6
3681,𝕞𝕠𝕠𝕟𝕟𝕚𝕔𝕜 ♥︎,นิยาย Girl Love/ Yuri,3,รอยยิ้มของเธอในวันนั้น ทำให้ฉันตกหลุมรักเธอในทุกวันนี้,7.0,จบ,1.0,https://cdn.readawrite.com/articles/2055/2054309/thumbnail/small.gif,2.0,"Girl Love/Yuri,นิยายรัก,นิยายรักวัยรุ่น,นิยายวัยรุ่น,นิยายวาย",ชินอย่าป๊อด,https://www.readawrite.com/a/z1cvyj,617,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3682,RabbitB,นิยาย Girl Love/ Yuri,17,เธอผู้ที่เป็นเหมือนรักแรกในความทรงจำ,53.0,จบ,1.0,https://cdn.readawrite.com/articles/2057/2056644/thumbnail/small.gif,13.0,"SEOLBO,WJSN,Seola,Bona",[SF] First Love,https://www.readawrite.com/a/z1cxv9,706,,,,,,0.0,0.0,3.0,1.0,3.0,2.3,1.4,1.4,1.8,1.8,2.3,2.3
3683,ฌีรญา,นิยาย Girl Love/ Yuri,13,อิเจ๊แอร์คนนี้อ่อยพ่อฉันอยู่ได้ อยากจะมาเป็นแม่เลี้ยงฉันหรอ? ฮึ!! เป็นเมียฉันดีกว่าม้างงง,59.0,จบ,1.0,https://cdn.readawrite.com/articles/2056/2055842/thumbnail/small.gif,11.0,"Girl Love/Yuri,นิยาย Girl Love/ Yuri,Girl love / Yuri / หญิงรักหญิง,หญิงรักหญิง นิยาย เลสเบี้ยน รักร่วมเพศ,แอนเชียร์,แอนสิเรียม,AnnCheer,annsirium,Agegap,แอร์โฮสเตส,คุณหนู,#หญิงรักหญิง",Cabin Crew Prepare For Take Love,https://www.readawrite.com/a/z1cx8c,781,,,,,,0.0,0.0,2.0,2.0,3.0,2.3,1.4,1.5,1.8,1.8,2.3,2.3
3684,ฟ้าสีรุ้งสร้างฝัน,นิยาย Girl Love/ Yuri,13,เมื่อสิ่งเธอไม่เคยเชื่อเกิดขึ้นจริง และพวกเขามีตัวตนจนเธอต้องหลงเข้าไปอยู่ในวังวนสงครามระหว่างเผ่าพั,44.0,จบ,11.0,https://cdn.readawrite.com/articles/2058/2057312/thumbnail/small.gif,11.0,"18+,Girl Love/Yuri,หญิงรักหญิง,Yuri,เวทมนตร์,นิยายแฟนตาซี,นิยายรัก",Secret Love รักเร้นลับ,https://www.readawrite.com/a/z1cyfc,2421,,,,,,0.0,0.0,2.0,2.0,2.0,2.0,1.2,1.3,1.5,1.6,2.0,2.0
