,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
123,RoseVeronica,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,682,กล่าวถึงเทียนถังชายหนุ่มที่ถูกเรียกว่ามารราคะ จนกระทั่งวันหนึ่งเขาข้ามมิติไปโลกลมปราณ ทั้งเขายังพบว่,960,จบ,152.0,https://cdn.readawrite.com/articles/224/223530/thumbnail/small.gif,216.0,"จอมยุทธ์,ปริศนา,ดราม่า,ทะลุมิติ,นิยายจีน,นิยายแฟนตาซี,นิยายโรแมนติก,18+,กำลังภายใน,เทพเจ้า,เวทมนตร์,ต่างโลก,นิยายโรมานซ์,ผจญภัย",The System God of Devil lust ระบบเทพมารราคะ,https://www.readawrite.com/a/ez57gk,328527,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
124,กระต่าย,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,2,เมื่อ ปรมอาจารย์เทียมสวรรค์ ต้องตายด้วยน้ำมือศิษย์ของตนเอง แต่กลับต้องถูกส่งไปต่างโลกเสียอย่างนั้น,39,จบ,16.0,https://cdn.readawrite.com/articles/225/224357/thumbnail/small.gif,1.0,"จอมยุทธ์,ดราม่า,ทะลุมิติ,นิยายจีน,นิยายแฟนตาซี",ส่งจอมยุทธไปต่างโลก,https://www.readawrite.com/a/ez5857,4124,,,,,,0.0,0.0,1.25,5.0,5.0,3.8,2.2,2.5,2.8,3.1,3.8,3.9
125,ผู้อยู่ในเงามืด,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,8,ข้าอยู่ไปเพื่ออะไร อยู่เพื่อสิ่งใด ในเมื่อเจ้าหาได้อยู่ในโลกใบเดียวกับข้าไม่,45,จบ,11.0,https://cdn.readawrite.com/articles/272/271801/thumbnail/small.gif,7.0,"นิยายแฟนตาซี,จอมยุทธ์,กำลังภายใน",วิถีแห่งดาบ(ชื่อเก่าราชันแห่งพลัง),https://www.readawrite.com/a/ez6buq,2166,,,,,,0.0,0.0,3.75,4.0,5.0,4.2,2.6,2.7,3.2,3.4,4.2,4.3
126,จินดาริน,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,1,ไม่ว่าจะหนีไปไกลแค่ไหนสุดท้ายเจ้าก็ต้องกลับมา/นั่นก็ไม่แน่หากข้าไปยมโลกคงปลอดภัยจากท่าน/ยมบาลไม่ต้อง,3,จบ,4.0,https://cdn.readawrite.com/articles/276/275908/thumbnail/small.gif,1.0,,กุหลาบบรรพกาล (by Sister\'s Story),https://www.readawrite.com/a/ez6f83,523,,,,,,0.0,0.0,1.25,3.0,2.0,2.1,1.2,1.4,1.6,1.7,2.1,2.2
127,อาจ้าว,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,3,องค์ชายผู้อาภัพต้องใช้ชีวิตทหารรับใช้ชาติ อีกทั้งชีวิตเรื่องราวประวัติของตนตอนเด็กยังคงคลุมเครือ ยัง,16,จบ,24.0,https://cdn.readawrite.com/articles/283/282917/thumbnail/small.gif,2.0,"แม่ทัพ,ฮ่องเต้,วังหลวง,ท่านหมอหญิง,ความรัก",เเม่ทัพคู่บัลลังก์ [ใต้หล้าเป็นหนึ่ง],https://www.readawrite.com/a/ez6kxc,1847,,,,,,0.0,0.0,2.5,4.0,4.0,3.5,2.1,2.3,2.6,2.8,3.5,3.6
128,Maha.,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,110,การกลับมาเกิดใหม่ ของราชันย์เทวะ ผู้อยู่บนจุดสูงสุด แต่หารู้ไม่มันสิ้นชีพเพราะ การปรุงยาเพื่อจะเลื่อ,260,จบ,52.0,https://cdn.readawrite.com/articles/581/580132/thumbnail/small.gif,52.0,"จอมยุทธ์,นิยายจีน,นิยายแฟนตาซี",ร้านค้าของราชันย์เทวะ,https://www.readawrite.com/a/fzdik7,32424,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
129,Aam19,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,1,หากจงรักภักดีแล้วสิ่งที่ได้กลับมาคือความหวาดระแวงและตราหน้าว่าเป็นฆาตกร งั้นก็ขอเลือกทรยศหักหลังเพื่,8,จบ,10.0,https://cdn.readawrite.com/articles/600/599639/thumbnail/small.gif,1.0,,BETRAY OR BE LOYAL,https://www.readawrite.com/a/fzdyhj,822,,,,,,0.0,0.0,1.25,4.0,3.0,2.8,1.6,1.8,2.1,2.3,2.8,2.9
130,信灵 ซิ่นหลิง,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,172,ลู่หลินที่เป็นดั่งแก้วตาดวงใจของบุรุษหนุ่มผู้ยิ่งใหญ่ทั้งสี่แห่งโลกวิญญาณ จำต้องไปจุติที่โลกลมปราณ น,434,จบ,75.0,https://cdn.readawrite.com/articles/671/670632/thumbnail/small.gif,90.0,"นิยายจีนโบราณ,ทะลุมิติ,ลมปราณ,ฝึกตน",ลู่หลินจอมนางล่องภพ,https://www.readawrite.com/a/fzfmfw,46694,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
131,bymyside,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,โกรญเเค้นเคืองโกรญโทษฉันทำไม,1,จบ,2.0,https://cdn.readawrite.com/articles/847/846899/thumbnail/small.gif,0.0,"my master,ninja,Action,drama,lord",My master จุดจบสายเลือดทาส,https://www.readawrite.com/a/fzjqc4,133,,,,,,0.0,0.0,1.25,2.0,1.0,1.4,1.0,1.0,1.1,1.1,1.4,1.4
132,กุหลาบพลอย,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,12,"เพื่อปิดบัญชีผู้คร่าชีวิตลูกสาว ""เสนา"" อดีตทหารไซบอร์กเดนตายจึงกลับมาล่าระห่ำทรชนอีกครั้งในฐานะนักฆ่",6,จบ,13.0,https://cdn.readawrite.com/articles/921/920802/thumbnail/small.gif,4.0,"ดราม่า,แก้แค้น,รุนแรง,ต่อสู้",ฝังแค้นมัจจุราช,https://www.readawrite.com/a/fzlgnm,936,,,,,,0.0,0.0,3.75,4.0,3.0,3.6,2.2,2.3,2.7,2.8,3.6,3.6
133,ดมกาวอยู่ชิงจิ้งเฟิง,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,7,แค่เพื่อนแชร์นิยายมาให้ ถึงกับมาที่นี่เลยหรอ? เรื่องราวของสี่สาวกับการดัดแปลงนิยายของเขา และดันเกิดม,20,จบ,1.0,https://cdn.readawrite.com/articles/924/923237/thumbnail/small.gif,6.0,"นิยายจีน,Boy Love/Yaoi,ตลก,โลกสมมติ,นิยายจีนโบราณ",ข้าเกิดมาเป็นพระเอกนิยายวายเรอะ!?,https://www.readawrite.com/a/fzlin7,824,,,,,,0.0,0.0,3.75,4.0,4.0,3.9,2.4,2.5,2.9,3.1,3.9,3.9
134,ณิสรินทร์,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,1,สวัสดีค่ะ? ยินดีต้อนรับทุกๆคนเข้าสู่โลกนิยายของเรานะคะ❤ยินดีรับคำติชมนะคะ? สุดท้ายนี้ฝากติดตามผลงานเ,0,จบ,17.0,https://cdn.readawrite.com/articles/980/979561/thumbnail/small.gif,1.0,ณิสรินทร์,ป่าพันธกานต์,https://www.readawrite.com/a/fzmtmg,412,,,,,,0.0,0.0,1.25,3.0,1.0,1.8,1.0,1.2,1.3,1.4,1.8,1.8
135,HDK,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,2,เรื่องนี้จะพูดถึง ริค หัวหน้าหน่วยสำรวจกลุ่มแรกที่ถูกจัดตั้งขึ้น ในเหตุการณ์การล่มสลาย สิ่งที่เขาได้,3,จบ,2.0,https://cdn.readawrite.com/articles/1111/1110001/thumbnail/small.gif,1.0,"นิยายแฟนตาซี,ผจญภัย,ต่อสู้,ล่มสลาย,พลังวิเศษ,มอนเตอร์,นักล่า,หน้ากาก",Make Hunter,https://www.readawrite.com/a/fzpv4b,153,,,,,,0.0,0.0,1.25,2.0,2.0,1.8,1.0,1.1,1.3,1.4,1.8,1.8
136,Meatism,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,6,เรื่องราวของโลกหลังยุคล่มสลายจากสงคราม แม้มนุษยชาติเกือบจะสูญพันธ์ แต่เมื่อฟื้นตัวได้จนสามารถเริ่มก่,4,จบ,3.0,https://cdn.readawrite.com/articles/1134/1133193/thumbnail/small.gif,3.0,"สงคราม,นักฆ่า,สังคม,ดราม่า,อนาคต,นิยายแฟนตาซี",Districts Of Survivor สงครามที่โลกลืม,https://www.readawrite.com/a/fzqf1x,216,,,,,,0.0,0.0,3.75,2.0,3.0,2.9,1.8,1.8,2.2,2.2,2.9,2.8
137,Ruby snow,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,5,การผจญภัยซึ่งนำมาซึ่งทุกอย่างและแลกซึ่งทุกสิ่ง ,0,จบ,10.0,https://cdn.readawrite.com/articles/1149/1148085/thumbnail/small.gif,1.0,"เจ้าชาย,เด็กน้อย,ป่า,กำแพง,เด็กชาย,ความรัก,การเรียนรู้,หลง,ลึกลับ,เรื่องเล่า,นิยายแฟนตาซี",เด็กน้อย ( Little boy ),https://www.readawrite.com/a/fzqr7f,243,,,,,,0.0,0.0,1.25,3.0,1.0,1.8,1.0,1.2,1.3,1.4,1.8,1.8
138,Rapperwrite,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,1,แต่งได้เรื่อยๆไม่มีขอบเขต เป็นเรื่องราวชีวิตประจำวันสุดมันส์ๆเลือดพุ่งพล่านของเจ้าหญิง เรื่องนี้สนุก,1,จบ,9.0,https://cdn.readawrite.com/articles/1123/1122498/thumbnail/small.gif,1.0,"ผจญภัย,ปริศนา,ต่อสู้,ทะลุมิติ,ตลก,นิยายแฟนตาซี",Daily life of princess ชีวิตประจำวันที่สุดแสนจะยุ่งเหยิงของยัยเจ้าหญิงน้ำแข็ง,https://www.readawrite.com/a/fzq6bd,640,,,,,,0.0,0.0,1.25,3.0,1.0,1.8,1.0,1.2,1.3,1.4,1.8,1.8
139,Princess_Fantasy,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,1, ศักดิ์ศรีของเธอถูกถอดไว้ที่นั่น และคงถึงเวลาที่เธอจะกลับไปเอามันคืนอย่างถูกต้องเสียที… &hell,3,จบ,2.0,https://cdn.readawrite.com/articles/1175/1174336/thumbnail/small.gif,1.0,"ดราม่า,นิยายโรแมนติก,ปริศนา,เจ็บปวด,แก้แค้น,ฆาตกรรม,เลือด",อัลดา ข้าคือที่ 1,https://www.readawrite.com/a/fzrdmg,76,,,,,,0.0,0.0,1.25,1.0,2.0,1.4,1.0,1.0,1.1,1.1,1.4,1.4
140,Yui ♡,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,4,"""นายคิดผิดที่อยู่ฝ่ายมัน"" ขอฝากเรื่องนี้ด้วยนะคะ",13,จบ,0.0,https://cdn.readawrite.com/articles/1202/1201761/thumbnail/small.gif,3.0,"แอ็คชั่น,นักฆ่า,ทหาร,ความรัก,ลึกลับ,Boy Love/Yaoi",[KURO]นักฆ่าในเงามืด,https://www.readawrite.com/a/fzs111,547,,,,,,0.0,0.0,3.75,3.0,4.0,3.6,2.2,2.3,2.7,2.8,3.6,3.6
141,EZZ,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,4,นิยายเรื่องนี่เป็นเรื่องที่เกี่ยวกับการต่อสู่นะคับและเอลี่ยนที่อยู่ในร่างคน จบ,2,จบ,2.0,https://cdn.readawrite.com/articles/1302/1301611/thumbnail/small.gif,2.0,,ฉันคือคนที่จะทําให้โลกนี่มีความสุข,https://www.readawrite.com/a/fzuciv,123,,,,,,0.0,0.0,2.5,2.0,2.0,2.2,1.3,1.4,1.6,1.7,2.2,2.1
142,copy_ef_,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,8.0,-คำเตือน- เรื่องนี้จะกาวหรือทินเนอร์ก็อยู่ที่ตัวผู้อ่านเอง,26,จบ,1.0,https://cdn.readawrite.com/articles/1331/1330688/thumbnail/small.gif,6.0,"ซอมบี้,กาวๆ,คอมเมดี้,Zombie",พี่เลี้ยงผมเป็น...ซอมบี้ครับ,https://www.readawrite.com/a/fzv19n,373,,,,,,0.0,0.0,3.75,3.0,4.0,3.6,2.2,2.3,2.7,2.8,3.6,3.6
143,ร่างผอมบาง,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,41.0,เมื่อวันสิ้นโลกได้มาถึง สารพัดของหายนะแห่งความโกลาหล ซอมบี้​ สัตว์ประหลาด​ มารร้ายกระหายเลือด เซียนเ,116,จบ,31.0,https://cdn.readawrite.com/articles/1419/1418594/thumbnail/small.gif,18.0,"นิยายแฟนตาซี,นิยายจีนโบราณ,จอมยุทธ์,นิยายจีน,ผจญภัย,ดราม่า,กำลังภายใน,ทะลุมิติ,ปริศนา,ต่อสู้,พลังวิเศษ,ผีดิบ,ซอมบี้,มาร,ภูตผี,อสูร,เทพ,เซียน,โลกาวินาศ,วันสิ้นโลก",Re​ Apocalypse​ ย้อนเวลา​วันโลกาวินาศ,https://www.readawrite.com/a/fzx319,8887,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
