,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
1423,ขวัญฤทัย,นิยายรักจีนโบราณ,2,เมื่อสวรรค์เบื่องบนส่งให้เทพผู้พิทักษ์สาวซึ่งมีอิฤธิทมากกว่าองค์ใดลงมาเกิดเพื่อทำภารกิจเเละปกป้องครุ,2.0,จบ,0.0,https://cdn.readawrite.com/articles/505/504333/thumbnail/small.gif,2.0,,ตำนานรักเทพผู้พิทักษ์,https://www.readawrite.com/a/tzbqoi,136,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1424,ช่างอิ่น (เขมปัณณ์) ,นิยายรักจีนโบราณ,0,กระพรวนทองคำที่คอนาง เขาเป็นผู้สวม หัวใจนาง เขาเป็นผู้เหยียบย่ำทำลาย ในเมื่อรักครั้งนี้สมหวังไม่ได้ ,15.0,จบ,2.0,https://cdn.readawrite.com/articles/475/474463/thumbnail/small.gif,0.0,"นิยายโรแมนติก,ย้อนยุค,นิยายจีนโบราณ,นิยายรัก",ลำนำรักเก้าชีวิต,https://www.readawrite.com/a/tzb2b3,782,,,,,,0.0,0.0,1.0,2.0,2.0,1.7,1.0,1.1,1.2,1.3,1.7,1.7
1425,ดาวแปดเหลี่ยม,นิยายรักจีนโบราณ,497,หลงข้ามภพมาเป็นนางร้ายคลั่งรักก็ว่าแย่แล้ว ไหงเรื่องราวถึงได้พลิกผันจากที่นางเคยรู้นักเล่า ฉากสบตารั,408.0,จบ,41.0,https://cdn.readawrite.com/articles/478/477110/thumbnail/small.gif,105.0,"จีนโบราณ,นางร้าย,ข้ามภพ,โรแมนติกคอเมดี้,สุขนิยม,พระเอกฉลาด,กำลังภายใน,วรยุทธ์,ปลอมตัว,ป่วนฮา",ไป๋เหวินเซียง ภารกิจสุดป่วนเมื่อนางร้ายหมายเป็นยอดยุทธ์ (จบแล้ว),https://www.readawrite.com/a/tzb4gp,63319,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
1426,ซูเหยา,นิยายรักจีนโบราณ,154,เขาคือทายาทตระกูลเศรษฐีที่โด่งดังในเมืองเจิ้ง แต่มีอุปนิสัยขี้ลืมจนทำให้พลาดงานแต่งไปหลายครั้ง สุดท้,236.0,จบ,22.0,https://cdn.readawrite.com/articles/554/553445/thumbnail/small.gif,66.0,,สาวใบ้กับคุณชายขี้ลืม,https://www.readawrite.com/a/tzcvrp,33180,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,2.4,2.5,3.0,3.1,4.0,4.0
1427,หลี่หง,นิยายรักจีนโบราณ,70,ครั้งที่แต่งงานกัน ท่านก็ไม่ยอมร่วมหอ ยั่วยวนเท่าใด ก็ไม่เคยได้ผล เผยโฉมต่อหน้า ท่านก็ไม่เคยยล ข้าอด,180.0,จบ,137.0,https://cdn.readawrite.com/articles/556/555431/thumbnail/small.gif,36.0,"นิยายจีนโบราณ,นิยายรัก,นิยายโรแมนติก,ย้อนยุค",จอมนางพญามาร魔鬼神(2เล่มจบ),https://www.readawrite.com/a/tzcxeg,34251,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,2.4,2.5,3.0,3.1,4.0,4.0
1428,Tanya3,นิยายรักจีนโบราณ,8,"""ท่านพี่เจียอี้ ท่านมาเป็นสามีถ้าเถอะ"" ",50.0,จบ,7.0,https://cdn.readawrite.com/articles/521/520004/thumbnail/small.gif,7.0,,ท่านพี่ ข้ารักท่านที่สุด❤️,https://www.readawrite.com/a/tzc4h9,2202,,,,,,0.0,0.0,2.0,3.0,3.0,2.7,1.6,1.7,2.0,2.1,2.7,2.7
1429,Doramartin,นิยายรักจีนโบราณ,0,กี่ชาติ กี่ภพ ขอพบรัก กี่พลัด กี่พราก จักตามหา กี่ปี กี่เดือน กี่โลกา กี่เพลา ยึดมั่น แค่เธอ ,0.0,จบ,0.0,https://cdn.readawrite.com/articles/559/558147/thumbnail/small.gif,0.0,,กี่ชาติ กี่ภพ ขอพบรัก,https://www.readawrite.com/a/tzd0m2,66,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1430,โป๋เหม่ยเฉวี่ยน,นิยายรักจีนโบราณ,2,บุปผาต้องเสน่หา: นิยายรักจีนโบราณ,10.0,จบ,0.0,https://cdn.readawrite.com/articles/639/638968/thumbnail/small.gif,2.0,,บุปผาต้องเสน่หา,https://www.readawrite.com/a/tzevl8,911,,,,,,0.0,0.0,1.0,2.0,1.0,1.3,1.0,1.0,1.0,1.1,1.3,1.4
1431,จาด้า@giada,นิยายรักจีนโบราณ,19,รักครั้งนี้แม้มีอุปสรรคแต่ข้าขอให้คำสัจสาบานว่าจะรักและแต่งงานกับเจ้าเพียงผู้เดียว,28.0,จบ,18.0,https://cdn.readawrite.com/articles/672/671645/thumbnail/small.gif,12.0,"นิยายรัก,นิยายรักข้ามกาลเวลา,น่ารัก",รักนิรันด์,https://www.readawrite.com/a/tzfn9u,2903,,,,,,0.0,0.0,3.0,3.0,2.0,2.7,1.6,1.7,2.0,2.1,2.7,2.7
1432,Wang Fang,นิยายรักจีนโบราณ,186, ท่ามกลางความมืด แสงไฟสลัวภายในห้อง เผยให้เห็นใบหน้าที่งดงาม กลิ่นหอมจากกายของหญิงสาววัยแรกแย้มชวนให,361.0,จบ,28.0,https://cdn.readawrite.com/articles/654/653400/thumbnail/small.gif,107.0,"นิยายโรแมนติก,ย้อนยุค",ชายาฉินอ๋อง,https://www.readawrite.com/a/tzf8dk,53008,,,,,,0.0,0.0,5.0,5.0,4.0,4.7,2.8,3.0,3.5,3.7,4.7,4.7
