,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
1260,sunflower21,วรรณกรรม/ดราม่า/เสียดสีสังคม,3,ทำไมกัน ทำไมผมถึงชอบที่จะใช้ชีวิตคนเดียว ไม่ชอบเข้าหาผู้คน ชอบเก็บตัว ไม่สุงสิงกับใคร ,2.0,จบ,1.0,https://cdn.readawrite.com/articles/1996/1995538/thumbnail/small.gif,2.0,"เรื่องสั้น,มัธยมต้น,เพื่อน",มนุษย์ที่ว่าเป็นสัตว์สังคม,https://www.readawrite.com/a/z1bj0d,354,,,,,,0.0,0.0,2.5,4.0,2.5,3.0,1.8,1.9,2.2,2.4,3.0,3.1
1261,สารพัด,วรรณกรรม/ดราม่า/เสียดสีสังคม,2,คำโปรย,3.0,จบ,2.0,https://cdn.readawrite.com/articles/1998/1997168/thumbnail/small.gif,1.0,,So pls watch me.,https://www.readawrite.com/a/z1bkbx,184,,,,,,0.0,0.0,1.25,3.0,2.5,2.2,1.4,1.5,1.7,1.8,2.2,2.3
1262,เมคราม,วรรณกรรม/ดราม่า/เสียดสีสังคม,4,● ɪʟʟᴜsᴛ : ᴀᴍᴀɴᴊɪᴍᴀɴɢ | ● sᴛᴏʀʏ : ᴍᴇᴋʜʀᴀᴍ,3.0,จบ,1.0,https://cdn.readawrite.com/articles/1998/1997676/thumbnail/small.gif,2.0,"วัยรุ่น,ชายชาย,เวียนว่ายตายเกิด",Loop | วังวน เวียนว่าย,https://www.readawrite.com/a/z1bkqg,106,,,,,,0.0,0.0,2.5,2.0,2.5,2.3,1.4,1.5,1.8,1.8,2.3,2.3
1263,croken,วรรณกรรม/ดราม่า/เสียดสีสังคม,44,อัลฟ่าโง่เขลา นิสัยใช้ได้ที่คงใช้เวลาทั้งชีวิตรอคอยเขากลับมา พูดว่า “ฉันกำลังจะแต่งงาน” ,156.0,จบ,8.0,https://cdn.readawrite.com/articles/1998/1997696/thumbnail/small.gif,19.0,"Boy Love/Yaoi,omegaverse",(omegaverse) worse than anything,https://www.readawrite.com/a/z1bkr1,5865,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
1264,coocoo,วรรณกรรม/ดราม่า/เสียดสีสังคม,0,ทุกๆครั้งที่มีอะไรกันเเทบไม่เคยได้รับรู้ถึงความรัก เป็นเพียงการเสพสมกามชั่วข้ามคืน เมื่อตื่นขึ้นก็กล,1.0,จบ,2.0,https://cdn.readawrite.com/articles/1998/1997752/thumbnail/small.gif,0.0,"ดราม่า,ชีวิตรักมหาลัย",FAKELOVE(ของเล่นข้ามคืน),https://www.readawrite.com/a/z1bksm,52,,,,,,0.0,0.0,1.25,1.0,1.25,1.2,1.0,1.0,1.0,1.0,1.2,1.2
1265,zero : zero,วรรณกรรม/ดราม่า/เสียดสีสังคม,84,เมื่อแกนกลางมีรูโหว่ เราจึงต้องเติบโตอยู่บนรอยร้าวแห่งความเหลื่อมล้ำเพื่อรอวันแตกสลายโดยสมบูรณ์ ,195.0,จบ,17.0,https://cdn.readawrite.com/articles/2000/1999042/thumbnail/small.gif,62.0,"ดราม่า,สังคม,ชีวิต,ครอบครัว,เสียดสี,การเมือง",WE ARE ONE,https://www.readawrite.com/a/z1bluh,5450,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
1266, น้องพึ่งหัดเขียน,วรรณกรรม/ดราม่า/เสียดสีสังคม,0,อยู่ในที่ๆไม่มีใครเข้าใจ,0.0,จบ,2.0,https://cdn.readawrite.com/articles/1999/1998053/thumbnail/small.gif,0.0,"ดราม่า,โรคซึมเศร้า,ที่รัก,ตะวัน",คุณคือตะวัน,https://www.readawrite.com/a/z1bl28,36,,,,,,0.0,0.0,1.25,1.0,1.25,1.2,1.0,1.0,1.0,1.0,1.2,1.2
1267,RawinRahu,วรรณกรรม/ดราม่า/เสียดสีสังคม,4,ความสุขชั่ววูบของผู้กระทำ สร้างความทุกข์นิรันดร์ให้กับฉัน,3.0,จบ,1.0,https://cdn.readawrite.com/articles/2001/2000325/thumbnail/small.gif,2.0,"เสียดสีสังคม,สะท้อนสังคม,ข่มขืน",โลกของเหยื่อ,https://www.readawrite.com/a/z1bmw5,414,,,,,,0.0,0.0,2.5,4.0,2.5,3.0,1.8,1.9,2.2,2.4,3.0,3.1
1268,อังศุมาลินทร์,วรรณกรรม/ดราม่า/เสียดสีสังคม,0,(ทดลองอ่าน) “พรุ่งนี้พี่จะหย่าให้นะ” พิชิตเอ่ยออกมาแม้ในใจจะรู้สึกทรมานจนใจขาดตาย แต่เขา,0.0,จบ,4.0,https://cdn.readawrite.com/articles/2001/2000945/thumbnail/small.gif,0.0,,หัวใจ(รัก)บาป,https://www.readawrite.com/a/z1bneu,151,,,,,,0.0,0.0,1.25,3.0,1.25,1.8,1.1,1.2,1.4,1.5,1.8,1.9
1269,อังศุมาลินทร์,วรรณกรรม/ดราม่า/เสียดสีสังคม,0,มันเป็นความผิดพลาด เป็นความเห็นแก่ตัวที่ทอดทิ้งเธอและลูกเมื่อสามปีก่อน ณ วันนี้ที่รู้สึก ยังคงรัก ยั,1.0,จบ,3.0,https://cdn.readawrite.com/articles/2001/2000947/thumbnail/small.gif,0.0,,พันธะหัวใจ (My Heart) ตอนพิเศษ,https://www.readawrite.com/a/z1bnew,131,,,,,,0.0,0.0,1.25,2.0,1.25,1.5,1.0,1.0,1.1,1.2,1.5,1.5
