,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer,new_title,hashtag
23,dainosorus,นิยาย Boy Love Secret Room,2,#น้องติณขี้อ่อย​: นิยาย Boy Love Secret Room,9,จบ,0.0,https://cdn.readawrite.com/articles/1930/1929535/thumbnail/,1,,#น้องติณขี้อ่อย​,285,,น้องติณขี้อ่อย
24,The violet CAT,นิยาย Boy Love Secret Room,12,ความเข้าใจผิดของทั้งสองฝ่าย นำพาให้คนสองคนมาพบกัน,41,จบ,3.0,https://cdn.readawrite.com/articles/1932/1931043/thumbnail/,9,"Boy love / Yaoi / ชายรักชาย,เมะชนเมะ,คัสวิน,ความรักวัยทำงาน",#เฮียของเมีย[ฉบับRewrite] Wife\'s Hia,"1,110",,เฮียของเมีย
25,JackXy Wu,นิยาย Boy Love Secret Room,59,'เรื่องคืนนั้นแค่เผลอพลั้งเคลิ้มไป' #เผลอ_เคลิ้ม,246,จบ,0.0,https://cdn.readawrite.com/articles/1931/1930681/thumbnail/,50,"รุกสวย,Reverse,นิยายYaoi,เผลอ_เคลิ้ม",Yves I #เผลอเคลิ้ม,"1,895",,เผลอเคลิ้ม
26,เขมกันต์,นิยาย Boy Love Lovely Room,507,‘เธอรู้ว่าเรารัก เธอเลยจะพูดยังไงกับเราก็ได้ใช่ไหม’,653,จบ,19.0,https://cdn.readawrite.com/articles/1931/1930716/thumbnail/,108,"twosides,drama,Boy Love/Yaoi,รวิน,ฟ้าคราม,เราของเธอ,ดราม่า",Two Sides #เราของเธอ,"17,747",,เราของเธอ
27,Rosesarin_,นิยาย Boy Love Lovely Room,"1,025",'Will you marry me?' รายการเรียลลิตี้ที่ทำให้ดาราตกอับอย่างผมต้องกลายมาเป็นเจ้าสาวของนักแสดงหนุ่มสุด,"3,187",จบ,9.0,https://cdn.readawrite.com/articles/1933/1932619/thumbnail/,411,"Yaoi,Boy love / Yaoi / ชายรักชาย,NCT,Johndo,JOHNNY,Doyoung,Alldoyoung,johnny suh,Mpreg,ท้องได้,Nct 127,feelgood,นิยายวายฟีลกู๊ด",Take a risk #หลงใจรัก > Mpreg,"84,033",,หลงใจรัก
28,skysea,นิยาย Boy Love Secret Room,2,#แค่อดีตกุกวี /cut-nc/: นิยาย Boy Love Secret Room,13,จบ,1.0,https://cdn.readawrite.com/articles/1934/1933401/thumbnail/,2,,#แค่อดีตกุกวี /cut-nc/,"1,936",,แค่อดีตกุกวี
29,TuT,นิยาย Boy Love Lovely Room,2,"มึงรู้ใช่มั้ยว่ากูคบกับมิวอยู่ ""ก็รู้ป่ะถึงกูจะเป็นกิ๊กกับมิว แต่กูก็อยากโดนมึงfuckด้วยว่ะ""",5,จบ,0.0,https://cdn.readawrite.com/articles/1934/1933891/thumbnail/,2,"Boy Love/Yaoi,มหาวิทยาลัย,ทัพหลงรัก,พี่ทัพของน้องรัก,Feel good",#ทัพหลงรัก,63,,ทัพหลงรัก
30,Flower in Shade,นิยาย Boy Love Lovely Room,467,รวมตอนพิเศษของ #ดอกไม้หน้าร้อนแสนทุกข์เข็ญ ตามเทศกาลและพร้อมต์งานเขียนทั้งหลาย,"1,003",จบ,29.0,https://cdn.readawrite.com/articles/1935/1934870/thumbnail/,172,"ดอกไม้หน้าร้อนแสนทุกข์เข็ญ,เรื่องเล่าวันคนโสด",#ดอกไม้หน้าร้อนแสนทุกข์เข็ญ 一盒巧克力,"31,512",,ดอกไม้หน้าร้อนแสนทุกข์เข็ญ
31,พาพา,นิยาย Boy Love Lovely Room,64,"""จำผิดหรือเปล่าครับ? ผมเป็นคนไทยไม่ใช่ไอดอลเกาหลีที่คุณรู้จักนะ""",393,จบ,1.0,https://cdn.readawrite.com/articles/1935/1934565/thumbnail/,49,,#คำสาปเขาบอกว่าผมกับคุณต้องรักกัน (yaoi),"2,344",,คำสาปเขาบอกว่าผมกับคุณต้องรักกัน
32,แมวน้อยตัวอ้วน,นิยาย Boy Love Lovely Room,33,....ฮือๆๆๆๆ.... “หยุดเลยนะวา ร้องไห้ทำไม” “ก็พี่ดิน ไม่ให้วาเล่นด้วย วาอยากเล่นกับ,112,จบ,13.0,https://cdn.readawrite.com/articles/1938/1937509/thumbnail/,26,,จนกว่าเราจะพบกันอีกครั้ง #พี่ดินน้องวา,"6,119",จนกว่าเราจะพบกันอีกครั้ง,พี่ดินน้องวา
33,V-44,นิยาย Boy Love Secret Room,64,นกน้อยในกรงทองของฉัน ไม่ว่าจะผ่านไปอีกสักกี่ปี เธอก็ยังคงเป็นของฉันเสมอ โบกบินเสียให้พอเพราะต่อไปนี้,318,จบ,31.0,https://cdn.readawrite.com/articles/1937/1936822/thumbnail/,39,"#BDSM,SM,Boy love / Yaoi / ชายรักชาย,Boy Love/Yaoi,นิยายรักอีโรติก,SM BDSM,นิยายวาย18+,นิยายวายชายรักชาย,นิยายวายsm,โปรดปราน,V-44,โชตะกอน,ซาดิสม์",No Control #เกินควบคุม [SM],"23,259",,เกินควบคุม
34,treestump,นิยาย Boy Love Lovely Room,0,วันหนึ่งผมเดินเข้าป่า ผมเจอนกตัวหนึ่ง มันถามผมว่าจะไปไหน ผมจึงตอบว่าอยากไปสวรรค์,1,จบ,0.0,https://cdn.readawrite.com/articles/1940/1939067/thumbnail/,0,,อยากไปสวรรค์ #เด๋อ01,40,อยากไปสวรรค์,เด๋อ
35,sanslalunela,นิยาย Boy Love Secret Room,23,[NC/hardcore] เมื่อซีหลินเฉินถูกส่งไปเป็นสายลับในจวนองค์ชายห้า แต่แล้วกลับต้องขึ้นเตียงกับองค์ชายและ,136,จบ,1.0,https://cdn.readawrite.com/articles/1940/1939152/thumbnail/,21,"Boy Love/Yaoi,นิยายวาย,ดราม่า,18+,นิยายรัก,นิยายจีน,นิยายวายจีน,นิยายวายจีนโบราณ,จีนโบราณ,PWP",#องค์ชายที่ไร้บัลลังก์ล้วนต้องตาย,"2,000",,องค์ชายที่ไร้บัลลังก์ล้วนต้องตาย
36,bcp.,นิยาย Boy Love Lovely Room,44,ชู๊ตจากเหนือเส้นสามแต้มกับจีบนาย อะไรยากกว่ากัน? ( pairing; yoonkook ),103,จบ,1.0,https://cdn.readawrite.com/articles/1940/1939507/thumbnail/,37,,#เบบี้ทูสคูล project: 3POINT,870,,เบบี้ทูสคูล
37,อัญมณีสีน้ำเงิน (Dai),นิยาย Boy Love Secret Room,163,"""นุ่ม เด็กดีของฉัน""",959,จบ,2.0,https://cdn.readawrite.com/articles/1941/1940761/thumbnail/,101,"18+,Boy Love/Yaoi,เมะออกสาว,PWP,porn,นิยายวาย,นิยายโรแมนติก,ตลก",Pink\'s Room #ห้องแห่งความลับ,"16,313",,ห้องแห่งความลับ
38,K.white rabbit,นิยาย Boy Love Lovely Room,3,จากวันปกติสู่วันที่ไม่ปกติ,10,จบ,3.0,https://cdn.readawrite.com/articles/1942/1941257/thumbnail/,2,,Can you love me? #ที่รักรับรักฉันที,382,,ที่รักรับรักฉันที
39,Aipra,นิยาย Boy Love Lovely Room,7,"""เอย"" น้องคนสุดท้องของบ้าน เด็กน้อยไร้เดียงสาของพี่ๆ ที่ทุกคนต่างเอ็นดูและหวงแหนเป็นพิเศษจนถึงขั้นมี",10,จบ,5.0,https://cdn.readawrite.com/articles/1986/1985090/thumbnail/,4,"โยซัง,yosang,โยฮัน,อึนซัง,yohan,eunsang,อีอึนซัง,คิมโยฮัน",Bom #โยซัง,297,,โยซัง
40,M98,นิยาย Boy Love Lovely Room,0,คนที่ไม่เคยรักจะเขียนบทหนังรักได้ยังไง,2,จบ,1.0,https://cdn.readawrite.com/articles/1986/1985285/thumbnail/,0,"Boy Love/Yaoi,นิยายวาย,นิยายโรแมนติก,นิยายรัก,ตะวันของคุณ",Eternal Sunshine #ตะวันของคุณ,90,,ตะวันของคุณ
41,ForeverAfter_K​,นิยาย Boy Love Lovely Room,876,'ตงหานเฟิง' ท่านอ๋องรูปงามถูกลอบสังหาร ตอนใกล้จะหมดลมหายใจปลงตกกับชีวิตแล้วว่าต้องไปปรโลกเป็นที่แน่แ,"3,699",จบ,6.0,https://cdn.readawrite.com/articles/1986/1985325/thumbnail/,504,"Boy Love/Yaoi,18+,นิยายโรแมนติก,omegaverse,มาเฟีย,ตลก,นิยายแฟนตาซี",(Omegaverse)The Chinese Prince ท่านอ๋องทะลุมิติ #หลินหลินอย่าซน,"57,478",ท่านอ๋องทะลุมิติ,หลินหลินอย่าซน
42,whale in your room,นิยาย Boy Love Lovely Room,0,ผมฝันถึงการเป็นวาฬในทุกคืนเพราะคุณบอกกับผมตลอดมาว่าคุณชอบวาฬ แต่ไม่ได้ชอบผม,1,จบ,2.0,https://cdn.readawrite.com/articles/1987/1986744/thumbnail/,0,"วาฬคาร์ฟ,อบอุ่นหัวใจ,แฟนตาซี / fantasy",I whale you so much (BL) #วาฬคาร์ฟ,39,,วาฬคาร์ฟ
43,092-20-4_5,นิยาย Boy Love Lovely Room,6,"#ภรรยา​ท่าน​ดยุค ""หม่ามี๊ส่งคำขอไปหมั้นเขาให้​น้องหน่อย​ จะให้จุ๊บๆ"" ""ได้ครับ​ มี๊จะจัดการให้"" (โคตร",22,จบ,1.0,https://cdn.readawrite.com/articles/1988/1987809/thumbnail/,4,"Boy Love/Yaoi,18+,น่ารัก,feelgood,ภรรยาท่านดยุค,พี่น้องตระกูลแอลกอฮอล์​,Mpreg,มีการใช้กลิ่นที่คุ้นเคยมาห่อตัว",- (𝙈𝙋𝙍𝙀𝙂)​ 𝙈 𝘼​ 𝙍 ` 𝙃 * #ภรรยา​ท่าน​ดยุค​ -​,355,,ภรรยา
44,หมื่นจอกอสุรา,นิยาย Boy Love Lovely Room,1,*คิดพล็อตได้แล้ว รอเขียนให้จบจ้า นข.เลยมาเปิดนิยายจองชื่อไปก่อน >0,6,จบ,0.0,https://cdn.readawrite.com/articles/1988/1987089/thumbnail/,1,"Boy Love/Yaoi,นิยายวาย,18+,ดราม่า,นิยายโรแมนติก,นิยายจีนโบราณ,นิยายรัก,นิยายแฟนตาซี,นิยายจีน",#บุปผาแดง,68,,บุปผาแดง
45,หมื่นจอกอสุรา,นิยาย Boy Love Secret Room,1,*คิดพล็อตได้แล้ว รอเขียนให้จบจ้า นข.เลยมาเปิดนิยายจองชื่อไปก่อน >0,4,จบ,0.0,https://cdn.readawrite.com/articles/1988/1987103/thumbnail/,1,"Boy Love/Yaoi,18+,นิยายวาย,นิยายรัก,นิยายโรแมนติก,นิยายแฟนตาซี,นิยายจีน,นิยายจีนโบราณ",#ประมุขพรรคมาร,79,,ประมุขพรรคมาร
46,หมื่นจอกอสุรา,นิยาย Boy Love Secret Room,2,*คิดพล็อตได้แล้ว รอเขียนให้จบจ้า นข.เลยมาเปิดนิยายจองชื่อไปก่อน >0,8,จบ,0.0,https://cdn.readawrite.com/articles/1988/1987116/thumbnail/,2,"Boy Love/Yaoi,18+,นิยายวาย,นิยายรัก,นิยายโรแมนติก,นิยายแฟนตาซี,นิยายจีน,นิยายจีนโบราณ",#ท่านอาจารย์,89,,ท่านอาจารย์
47,หมื่นจอกอสุรา,นิยาย Boy Love Secret Room,1,*คิดพล็อตได้แล้ว รอเขียนให้จบจ้า นข.เลยมาเปิดนิยายจองชื่อไปก่อน >0,9,จบ,0.0,https://cdn.readawrite.com/articles/1988/1987121/thumbnail/,1,"Boy Love/Yaoi,นิยายวาย,ตลก,นิยายรัก,นิยายโรแมนติก,นิยายแฟนตาซี,นิยายจีนโบราณ,นิยายจีน",#วิวาห์ส้มหล่น,87,,วิวาห์ส้มหล่น
48,หมื่นจอกอสุรา,นิยาย Boy Love Secret Room,3,*คิดพล็อตได้แล้ว รอเขียนให้จบจ้า นข.เลยมาเปิดนิยายจองชื่อไปก่อน >0,9,จบ,0.0,https://cdn.readawrite.com/articles/1988/1987124/thumbnail/,2,"Boy Love/Yaoi,18+,นิยายวาย,นิยายรัก,นิยายโรแมนติก,นิยายแฟนตาซี,นิยายจีน,นิยายจีนโบราณ",#ราตรีนี้มีแต่ข้าภูติจิ้งจอกเก้าหาง,66,,ราตรีนี้มีแต่ข้าภูติจิ้งจอกเก้าหาง
49,lyly_9397,นิยาย Boy Love Secret Room,71,เจคหลุดเข้าไปในโลกนิยายBL รับบท 'จูเลีย' ลูกชายท่านดยุกที่เป็นเเค่ตัวประกอบ เขาสวย เขาเเสบ เขาฉลาด เ,118,จบ,6.0,https://cdn.readawrite.com/articles/1989/1988689/thumbnail/,26,"จูเลียไม่ใช่นางเอก,gakook,yoonkook,BTS",The Julia Princess #จูเลียไม่ใช่นายเอก,"3,176",,จูเลียไม่ใช่นายเอก
50,Hazel_nut,นิยาย Boy Love Lovely Room,31,ไม่ได้หวังว่าเขาจะรักตอบ แค่อยากให้เขาได้รู้ว่ามีใครคนหนึ่งมอบใจให้...ก็เท่านั้น,260,จบ,1.0,https://cdn.readawrite.com/articles/1990/1989004/thumbnail/,26,"Boy Love/Yaoi,นิยายวาย,18+,โรงเรียน,ส่งรักให้ถึงใจ,ฮิลล์แอล",Crush on you #ส่งรักให้ถึงใจ [Yaoi / BL],"1,361",,ส่งรักให้ถึงใจ
51,MySoulmate,นิยาย Boy Love Lovely Room,0,อยากเดินเข้าไปบอกว่ารักเธอ,1,จบ,0.0,https://cdn.readawrite.com/articles/1990/1989249/thumbnail/,0,ฮาวทูคลั่งรัก,#ฮาวทูคลั่งรัก,31,,ฮาวทูคลั่งรัก
52,marchofjune,นิยาย Boy Love Lovely Room,61,ถ้าเราอายุ 30 แล้วยังไม่มีใคร เรามาอยู่ด้วยกันดีไหม?,305,จบ,7.0,https://cdn.readawrite.com/articles/1989/1988384/thumbnail/,35,"Mpreg,เคะท้องได้,Junhwan",#จินเนลสามสิบแล้ว (mpreg),"5,348",,จินเนลสามสิบแล้ว
53,อ๊ปๆกะตั้กๆเอิ้กๆ,นิยาย Boy Love Lovely Room,8,ดอกเดซี่ดอกนี้แทนความรักที่บริสุทธิ์ และเขาจะเป็นตัวแทนของความรักคุณกับผม,28,จบ,2.0,https://cdn.readawrite.com/articles/1991/1990462/thumbnail/,6,,(mpreg)หนูเดซี่ #เดซี่ของจักรตะวัน,424,หนูเดซี่,เดซี่ของจักรตะวัน
54,zearet18,นิยาย Boy Love Secret Room,836,กลางวันเราเป็นเพื่อนร่วมงาน แต่กลางคืนนั้นเป็นเพื่อนทำธุรกิจอย่างอื่น...,"3,082",จบ,5.0,https://cdn.readawrite.com/articles/1991/1990544/thumbnail/,418,,Friend with Erotic #เพื่อนร่วมงาน,"56,892",,เพื่อนร่วมงาน
55,อัญมณีสีน้ำเงิน (Dai),นิยาย Boy Love Secret Room,"1,533","""อยากโดนเพื่อนกินต้องทำยังไง""","4,035",จบ,15.0,https://cdn.readawrite.com/articles/1993/1992493/thumbnail/,587,"เพื่อน,PWP,NC,Boy Love/Yaoi,อัญมณีสีน้ำเงิน",#ลูกเสือในกำมือ,"241,333",,ลูกเสือในกำมือ
56,MAGENTA MOONLIGHT,นิยาย Boy Love Lovely Room,114,กูก็เป็นแค่โอเมก้าตัวเร้กๆ สูง 158 เองอะ เข้าใจอะไรยากเหรอ?,349,จบ,3.0,https://cdn.readawrite.com/articles/1994/1993574/thumbnail/,59,,[Omegaverse] Fake Omega #สตินะดิม,"3,505",,สตินะดิม
57,Black magicccc.,นิยาย Boy Love Secret Room,3,"...:""โฟล์คแม่งโชคดีว่ะได้พีพีเป็นผัวด้วย"" ...:""นั้นดิ กูไม่เห็นโชคดีบ้างว่ะ"" โฟล์ค:""หึ..""",6,จบ,2.0,https://cdn.readawrite.com/articles/1994/1993950/thumbnail/,3,,อีโฟล์คแม่งโชคดีว่ะ#พีโฟล์ค,144,อีโฟล์คแม่งโชคดีว่ะ,พีโฟล์ค
58,092-20-4_5,นิยาย Boy Love Lovely Room,4,"#ที่​ของ​ต๊ะ ""โธ่​ ไอ้คุณเจ้าที่"" ""ไอ้สัสฉีกูชื่อที่"" Coming​ soon​",2,จบ,0.0,https://cdn.readawrite.com/articles/1995/1994167/thumbnail/,2,"Boy Love/Yaoi,น่ารัก,feelgood,ที่​ของ​ต๊ะ​",- Will​ wait​ for​ \' 𝚄 \' : #ที่ของต๊ะ​ -​,30,,ที่ของต๊ะ
59,092-20-4_5,นิยาย Boy Love Lovely Room,5,#กรุงพิโรน เจ้าของร่มสีดำสนิท​ เจ้าของกลิ่นดอกกรรณิการ์ เจ้าของเสื้อช็อปสีน้ำเงิน​ และเจ้าของใจของโร,13,จบ,1.0,https://cdn.readawrite.com/articles/1994/1993380/thumbnail/,3,"Boy Love/Yaoi,feelgood,ตอนเดียวจบ,omegaverse,น่ารัก,กรุงพิโรน",- (Omegaverse)​ R \' P​ : #กรุงพิโรน -​,482,,กรุงพิโรน
