,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag
252,pakkaseetall,นิยาย Boy Love Secret Room,104,กระเเทกน้องเเรงๆเลยฮะ,649,จบ,12.0,https://cdn.readawrite.com/articles/1303/1302923/thumbnail/,63.0,,#น้องก้นนิ่ม,https://www.readawrite.com/a/izudld,"38,319",,น้องก้นนิ่ม
253,โดเรมีฟ้า,นิยาย Boy Love Lovely Room,8,จิง บุคคลผู้ชนะมาแล้วทุกอย่างแต่กลับลูซเซ่อในเรื่องความรักที่ได้แต่แอบมอง ไต๋ บุคคลที่ไม่เคยชนะอะไรส,12,จบ,2.0,https://cdn.readawrite.com/articles/1403/1402747/thumbnail/,4.0,"วาย,นิยายวาย,นิยายชายชาย,ชายชาย,Boy Love/Yaoi,Yaoi,saveG,Dairy,loser,ศูนย์ส่วนร้อย",loser’s dairy #ศูนย์ส่วนร้อย,https://www.readawrite.com/a/izwp3h,274,,ศูนย์ส่วนร้อย
254,Jaylerqz,นิยาย Boy Love Lovely Room,"1,344",จากโลกส่วนตัวแปรเปลี่ยนเป็นโลกของเรา โลกของเรา ของเราแค่สองคน..,"4,080",จบ,25.0,https://cdn.readawrite.com/articles/1444/1443065/thumbnail/,771,"18+,Boy Love/Yaoi,นิยายวาย,โลกส่วนตัวสูง,นิเทศศาสตร์,ดารา",Intr(L)ove/rt #สิบสามเครย์ E N D,https://www.readawrite.com/a/izxn0f,"301,663",,สิบสามเครย์
255,lome,นิยาย Boy Love Lovely Room,1,'ศศิกานต์'ก็ต้องเหนือเดือนอยู่แล้ว...จริงมั้ย! ทุกคนรู้ แฟนคลับรู้ แต่ที่แน่ๆไม่มีใครรู้ว่ากานต์แปลว,1,จบ,0.0,https://cdn.readawrite.com/articles/1451/1450594/thumbnail/,1,"นิยายวาย,Boy Love/Yaoi,นิยายโรแมนติก,นิยายรัก,ตลก",#ศศิกานต์เหนือเดือน [Yaio/BL],https://www.readawrite.com/a/izxt5j,39,,ศศิกานต์เหนือเดือน
256,คะนอ,นิยาย Boy Love Secret Room,350,รวมเรื่องสั้นกามๆ เต็มไปด้วยเนื้อหาที่ขัดต่อศีลธรรม โปรดใช้วิจารณญาณในการอ่าน （*´▽`*) Update!,637,จบ,34.0,https://cdn.readawrite.com/articles/1477/1476201/thumbnail/,108.0,"Boy Love/Yaoi,18+,นิยายวาย,โรงเรียน,Mpreg,นิยายแฟนตาซี,นิยายรัก",HYPERSEXUALITY #ไฮเปอร์เซ็กส์,https://www.readawrite.com/a/izyf26,"69,625",,ไฮเปอร์เซ็กส์
257,จินตะนา,นิยาย Boy Love Lovely Room,3,การมีดอกไม้สวยๆความหมายดีๆสักช่ออาจเป็นตัวเชื่อมความสัมพันธ์ระหว่างคุณและเขา แต่สำหรับผมดอกไม้มันก็เ,2,จบ,4.0,https://cdn.readawrite.com/articles/1485/1484562/thumbnail/,0.0,,Flowerlandlove #ดอกไม้ที่รัก,https://www.readawrite.com/a/izylv2,145,,ดอกไม้ที่รัก
258,ladyjairan,นิยาย Boy Love Lovely Room,5,ก้าวแรกไม่เป็นไรครับ ก้าวต่อไปเจอกันร้านเหล้า พี่อยากเป็นผัวน้องไม่ใช่พี่น้องอะครับ,20,จบ,3.0,https://cdn.readawrite.com/articles/1498/1497669/thumbnail/,2.0,,Brother Zone #ไม่พี่น้อง,https://www.readawrite.com/a/izywkj,513,,ไม่พี่น้อง
259,ทิวา,นิยาย Boy Love Lovely Room,116,"""แม่แม่หนูหยักมีพ่อพ่อ""",667,จบ,4.0,https://cdn.readawrite.com/articles/1460/1459632/thumbnail/,64.0,"เจ้าแฝดแสบ,Mpreg",#เจ้าแฝดเเสบ (mpreg),https://www.readawrite.com/a/izy1ir,"19,323",,เจ้าแฝดเเสบ
260,RindadaRin,นิยาย Boy Love Secret Room,174,อยู่ๆรุ่นพี่วิศวะห้องข้างๆใช้วิธีเข้าหาผมแปลกๆ ผมตื่นมาและพบว่า...นั่นล่ะ นอนเตียวเดียวกัน ผมก็พร้อม,"1,085",จบ,47.0,https://cdn.readawrite.com/articles/58/57949/thumbnail/,117,"วิศวะ,ท็อปสอง,นิยายวาย",#รีเวิร์ส #เหตุเกิดบนเตียงของห้องข้างเคียงวิศวะ,https://www.readawrite.com/a/iz1cao,"64,523",,รีเวิร์ส
261,คุณวาฬ,นิยาย Boy Love Secret Room,86,เรื่องราวน่ารักที่เกิดขึ้นในวันปัจฉิมนิเทศ,514,จบ,1.0,https://cdn.readawrite.com/articles/112/111668/thumbnail/,63,"18+,Boy Love/Yaoi,ทันนาวา,ปัจฉิมเดย์,คุณวาฬ,อยากให้ยิ้ม",ปัจฉิมเดย์ #อยากให้ยิ้ม,https://www.readawrite.com/a/iz2l5i,"36,987",ปัจฉิมเดย์,อยากให้ยิ้ม
