,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer,new_title,hashtag
4412,PISEKEY,นิยาย Girl Love/ Yuri,3,คนที่ฉันตามหา ใช่เธอหรือเปล่า?,7,จบ,0.0,https://cdn.readawrite.com/articles/1721/1720270/thumbnail/,3,"youthwithyou,yuyan,WangChengxuan,เซวี่ยนเหยียน,Xuanyan,THE9,YouthWithYou​2",She/Is/Love #เซวี่ยนเหยียนตามหารัก,115,,เซวี่ยนเหยียนตามหารัก
4413,𝐂𝐇𝐀𝐊𝐈𝐄𝐖,ชุมชนคนขี้ชิป,132,มึงจะดักตบอะไรหนักหนา ไอสตรีมเมอร์!,169,จบ,15.0,https://cdn.readawrite.com/articles/1721/1720468/thumbnail/,45,"ซูจุน,soojun",Hot head gaming #ดักตบซจ,"358,501",,ดักตบซจ
4414,ppeachbf,แฟนฟิคชั่น,171,พี่หมีน้องแมว and น้อนต้าพี่เตก,257,จบ,10.0,https://cdn.readawrite.com/articles/1721/1720507/thumbnail/,83,"แสร้งว่าเพืน่อ,Fanfiction แฟนฟิคชั่น,แสร้งว่าพ้นี่อง",os/sf #แสร้งว่ากาวจตกอ,"9,670",,แสร้งว่ากาวจตกอ
4415,19ninetyseven,ชุมชนคนขี้ชิป,94,‘เป็นหมอเหมือนกันอีก กูกับเขาคือเหมาะสมกว่านี้ไม่มีอีกแล้ว’ “เสร่อมั้ยอีเจด เขาหมอ,144,จบ,16.0,https://cdn.readawrite.com/articles/1721/1720776/thumbnail/,31,"ไมค์ใหม่ไหม้มั้ยหมอ,Henjun,Henxiao,hendery,xiaojun,เฮนจวิ้น,เฮนเซียว",#ไมค์ใหม่ไหม้มั้ยหมอ | henjun,"230,380",,ไมค์ใหม่ไหม้มั้ยหมอ
4416,lalalayyoo,แฟนฟิคชั่น,9,"""แปลก"" ทุกอย่างแปลก แปลกไปหมดเลย",10,จบ,3.0,https://cdn.readawrite.com/articles/1721/1720995/thumbnail/,5,"เปอร์เล,คูเปอร์,ทะเล",โรงเรียนประจำ #เปอร์เล l คูเปอร์xทะเล,414,โรงเรียนประจำ,เปอร์เล
4417,ViaAus,ชุมชนคนขี้ชิป,3,ฟิคนี้เลาจาฝึกบรรยายค่า และก็ถ้าฝึกคล่องแล้วเลาจามาแต่งควบคู่กันระหว่างบรรยายกับแชทเลอค่า ถ้ามีคนอ่า,9,จบ,2.0,https://cdn.readawrite.com/articles/1722/1721021/thumbnail/,3,"แฟนตาซี / fantasy,ดราม่านิดๆ,นิยายวาย,Boy Love/Yaoi,โยริโคคุ,ฝึกเขียน,Girl Love/Yuri,ฟิคKNY",🎴🌙อดีตแสนเจ็บช้ำสู่ปัจจุบันแสนสงบสุข💖 #โยริโคคุ,"10,091",อดีตแสนเจ็บช้ำสู่ปัจจุบันแสนสงบสุข,โยริโคคุ
4418,🌊โทมิโอกะ กิยู🌊,ห้องแห่งความรัก,6,ทำไมน่ารักจัง,21,จบ,2.0,https://cdn.readawrite.com/articles/1722/1721731/thumbnail/,4,allเดกุ,ทำไมน่าจัง#allเดกุ,"33,181",ทำไมน่าจัง,เดกุ
4419,ตะวันวาด,ชุมชนคนขี้ชิป,29,hygge(n.) — a quality of cosiness that comes from simple things,143,จบ,14.0,https://cdn.readawrite.com/articles/1722/1721828/thumbnail/,13,"doten,NCT",hygge #สิบโท #doten,"175,033",,สิบโท
4420,Dawkradas,นิยาย Boy Love Lovely Room,252,แฟนเก่าเป็นสิ่งมีชีวิตที่เขาอยากหลีกหนีให้ไกลแต่ไม่ว่าจะทำยังไงเขาก็สลัดมันไม่พ้น,965,จบ,24.0,https://cdn.readawrite.com/articles/1722/1721952/thumbnail/,97,"Boy Love/Yaoi,นิยายวาย,18+,นิยายรัก,นิยายโรแมนติก",[END] #เหนือฟ้าคือชลธี [YAOI],"52,425",,เหนือฟ้าคือชลธี
4421,วิหคเพลิง,ชุมชนคนขี้ชิป,27,"""......""",8,จบ,2.0,https://cdn.readawrite.com/articles/1722/1721273/thumbnail/,3,"ป๋อจ้าน,Boy Love/Yaoi,เซียวจ้าน,น่ารัก,ผัวเด็ก,รุ่นพี่,อี้จ้าน",เด็กก็รักเป็นมั้ยพี่ #ป๋อจ้า,"1,447",เด็กก็รักเป็นมั้ยพี่,ป๋อจ้า
4422,0 HP.,ชุมชนคนขี้ชิป,25,"""ไนท์มันชอบคิวรู้ยัง"" #พรี่ไนท์ช่บคิล",29,จบ,3.0,https://cdn.readawrite.com/articles/1723/1722753/thumbnail/,17,"Undertale au,Undertale,Boy Love/Yaoi,18+,errorink,nightkillers,dustberry,crossdream",Undertale AU || #พรี่ไนท์ช่บคิล,"86,218",,พรี่ไนท์ช่บคิล
4423,9crimes,นิยาย Boy Love Secret Room,129,บางทีอีโบนีอาจจะมีรากศัพท์มาจากคำว่าโสเภณีก็เป็นได้ (sleepverse),320,จบ,5.0,https://cdn.readawrite.com/articles/1723/1722929/thumbnail/,49,"Boy Love/Yaoi,18+,นิยายวาย,นิยายโรแมนติก",Dusk Till Dawn #ตะวันเล่นแสง,"6,290",,ตะวันเล่นแสง
4424,arintida,นิยาย Boy Love Lovely Room,36,"""ประเทศประชาธิปไตยคืออะไร? ทำไมผมถึงไม่มีสิทธิ์แสดงความคิดเห็นในประเทศที่คุณบอกว่าทุกเสียงมันเท่าเที",79,จบ,9.0,https://cdn.readawrite.com/articles/1724/1723131/thumbnail/,16,"Boy Love/Yaoi,นิยายวาย,Mpreg,ตลก,ดราม่า,การเมือง",#ปทปชธต ผมกับนายรัฐมนตรี,"2,372",,ปทปชธตผมกับนายรัฐมนตรี
4425,k.miyar ar joy,วายสเตชั่น,5,-มึงเป็นเเค่เมียเเต่ง อย่าเหิมเกริมกับกู!!!-,17,จบ,4.0,https://cdn.readawrite.com/articles/1724/1723128/thumbnail/,3,"ซึงพโย,เมียเเต่ง",#ซึงพโย เมียเเต่ง,"12,578",,ซึงพโยเมียเเต่ง
4426,JNP,ลิปสติกสีลิลลี่,23,บอกถึง 'แฟนเก่า' อยากขอบคุณและขอโทษ สำหรับทุกเรื่องของเราที่ผ่านมา :),54,จบ,3.0,https://cdn.readawrite.com/articles/1724/1723351/thumbnail/,13,"IZONE,Chaewon,Minju,2kim,แชวมิ้น,มิ้นแชว",#ขึ้นชื่อว่าแฟนเก่า (sf) | 2KIM,"68,924",,ขึ้นชื่อว่าแฟนเก่า
