,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag
21,OohshOngsw,นิยาย Boy Love Secret Room,12,มึงชื่อไรนะ ”อุ่นกาย” ชอบกูก็ทำตามที่กูสั่ง,35,จบ,4.0,https://cdn.readawrite.com/articles/1303/1302806/thumbnail/,6.0,"เนียลอง,nielong,ดินโรคจิต",ชอบกูก็ทำตามดิน #ดินโรคจิต,https://www.readawrite.com/a/azudi1,"1,864",ชอบกูก็ทำตามดิน,ดินโรคจิต
22,อยากตกปลาที่ดาวอังคาร,นิยาย Boy Love Secret Room,57,อยู่ๆผมก็ตายเพราะหมาตัดหน้ารถ และได้เกิดใหม่มาอยู่ในร่างเด็กที่ไหนก็ไม่รู้,150,จบ,7.0,https://cdn.readawrite.com/articles/1486/1485093/thumbnail/,35,,เกิดใหม่เป็น(เมีย) ลูกมาเฟีย #เรือบาป,https://www.readawrite.com/a/azymb8,"5,774",เกิดใหม่เป็น,เรือบาป
23,วรมนศรณ์,นิยาย Boy Love Lovely Room,5,"คุณเคยโดนจีบมั้ยครับ ไอ้หล่อหน้านิ่งนี่มันจีบผมครับ!!! ""มึงว่าไงนะ""ซน ""บอกว่า จีบ""ไฟท์",9,จบ,3.0,https://cdn.readawrite.com/articles/1485/1484941/thumbnail/,4,"Boy Love/Yaoi,นิยายวาย,โรงเรียน,รักใสๆ,ชายชาย,ตลก,byวรมนศรณ์,ฟีลกูด",ไอ้หล่อหน้านิ่งมันจีบผมครับ #ซนไฟท์,https://www.readawrite.com/a/azym6v,307,ไอ้หล่อหน้านิ่งมันจีบผมครับ,ซนไฟท์
24,Deicide_sai,นิยาย Boy Love Secret Room,1,คุณคือคนที่ผมเคยเจอมาก่อน ไม่ว่าจะตอนนี้หรือตอนนั้น ผมก็ยังรักทุกอย่างที่เป็นคุณ,0,จบ,2.0,https://cdn.readawrite.com/articles/1469/1468904/thumbnail/,0,"พี่ไนท์น้องซัน,Boy Love/Yaoi,นิยายวาย,นิยายรัก",I\'m all about you. รักทุกอย่างที่เป็นคุณ (#พี่ไนท์น้องซัน),https://www.readawrite.com/a/azy93o,62,รักทุกอย่างที่เป็นคุณ,พี่ไนท์น้องซัน
25,พลอยพรรณ,นิยาย Boy Love Lovely Room,802,ผมเหม่อ ยื่นมือไปคว้าจับชายเสื้อโฬม จับจ้องริมฝีปากของเขา “โฬมครับ...” ผมอยากจูบ...,"1,735",จบ,30.0,https://cdn.readawrite.com/articles/285/284693/thumbnail/,282,"feelgood,ฟีลกูด,เพลง,Boy Love/Yaoi,สกาย,โฬม,เจ้าสกาย,จรดฟ้า,สมปลิง,พลอยพรรณ,หะมายด์เอง",จ ร ด ฟ้ า | #เจ้าสกาย (สนพ.ฟาไฉ) -END-,https://www.readawrite.com/a/az6me3,"108,870",จรดฟ้า,เจ้าสกาย
26,ayeeriin,นิยาย Boy Love Lovely Room,463,"""ไอ้ด็อก..."" ""ด็อกพ่อมึง! กูชื่อเตอร์ ด็อกเตอร์!!""",640,จบ,44.0,https://cdn.readawrite.com/articles/654/653865/thumbnail/,124,"นิยายรัก,นิยายโรแมนติก,นิยายรักวัยรุ่น,Boy Love/Yaoi,ตลก,วิศวะ,หมอ",ว้ากอยู่ ... ฟังกูดิ [Yaoi] #โต้เตอร์,https://www.readawrite.com/a/bzf8qu,"56,739",ว้ากอยู่ฟังกูดิ,โต้เตอร์
27,aoikyosuke,นิยาย Boy Love Lovely Room,5,"""คุณเกลียดอะไรแผนกผมนักหนา"" โดนถามแบบนั้น และคุณกฤษดาก็มองหน้าของวิโรจน์ พนักงานจากแผนกขนส่งด้วยความ",39,จบ,8.0,https://cdn.readawrite.com/articles/836/835132/thumbnail/,5.0,"Boy Love/Yaoi,ดราม่า,นิยายโรแมนติก,SM,18+",รักเกิดในแผนกขนส่ง 3 (ภาค วิโรจน์#อ้น),https://www.readawrite.com/a/bzjgpw,"2,267",รักเกิดในแผนกขนส่ง,อ้น
28,สโลว์ไลฟ์สไตล์สลอธ,นิยาย Boy Love Lovely Room,6,:: คำเตือน :: นายเอกห้าวมาก !! จะม๊าวม๊าวกับคุณเจ้าของร้านคาเฟ่เท่านั้นละ (>'w',16,จบ,0.0,https://cdn.readawrite.com/articles/1091/1090564/thumbnail/,6,"Boy Love/Yaoi,18+,นิยายรัก,ตลก,นิยายวาย,โรงเรียน",ไอ้ห้าวน่ารัก ; ) #ซัมอย่าห้าว,https://www.readawrite.com/a/bzpf8y,392,ไอ้ห้าวน่ารัก,ซัมอย่าห้าว
29,BourBon_T,นิยาย Boy Love Lovely Room,422,' ผมรู้ครับว่าเราแต่งงานกันเพราะเหตุผลทางธุรกิจ แต่คุณนนท์ครับ คุณช่วยใจดีกับผมบ้างได้ไหมครับ อย่าใ,463,จบ,31.0,https://cdn.readawrite.com/articles/1098/1097862/thumbnail/,126,"เมียเถื่อน,เดย์นนท์,ฝาแฝด,เมียสวมรอย,นิยายวาย,นิยายโรแมนติก,NC18+",เมียเถื่อน #พี่นนท์น้องเดย์,https://www.readawrite.com/a/bzpl7h,"47,465",เมียเถื่อน,พี่นนท์น้องเดย์
30,สาวใต้แสงจันทร์​,นิยาย Boy Love Lovely Room,193,"""เดี๋ยว​นะครับคุณ​ลุงว่าไงนะครับคุณ​ลุงช่วยอธิบาย​ใหม่ได้ป่าวครับหรือผมหูฝาด"" ผมทักทวงออกไประหว่าง​ท",452,จบ,25.0,https://cdn.readawrite.com/articles/1145/1144024/thumbnail/,59,,เพราะ... สัญญา....# ท้อง​ได้#,https://www.readawrite.com/a/bzqnve,"33,248",เพราะสัญญา,ท้อง
