,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag
422,อันไหนฟะ,นิยาย Boy Love Lovely Room,0,ผมต้องการให้พี่เลิกเรียกผมว่าตุ้ยนุ้ย,0,จบ,1.0,https://cdn.readawrite.com/articles/435/434309/thumbnail/,0,"Yaoi,พี่ข้างบ้าน",อันนี้เรียกรัก,https://www.readawrite.com/a/bza4it,58,อันนี้เรียกรัก,
423,MIN K.,นิยาย Boy Love Lovely Room,3,ลมหนาวต้องเสียตัวยังไม่พอ แถมเสียตัวให้ผู้ชายอย่างอาทิตย์ลมหนาวรับไม่ได้!!,15,จบ,0.0,https://cdn.readawrite.com/articles/434/433973/thumbnail/,3,"18+,ดราม่า,Boy Love/Yaoi,นิยายรัก",ฤดูกาลรัก ตอน ลมหนาว,https://www.readawrite.com/a/bza498,227,ฤดูกาลรักตอนลมหนาว,
424,บทลำนำเพลง,นิยาย Boy Love Lovely Room,15,"หรือตอนนี้เราจะรู้สึกเหงากันนะ ไม่เข้าใจ หาคำตอบไม่ได้ ตัดสินใจแล้ว ""ผู้ดูแลระบบไม่ได้มีแค่เราคนเดีย",45,จบ,8.0,https://cdn.readawrite.com/articles/438/437912/thumbnail/,11,"Boy Love/Yaoi,นิยายแฟนตาซี,นิยายระบบ,นิยายวาย",System [error] ระบบป่วนโลก,https://www.readawrite.com/a/bza7gr,"2,649",ระบบป่วนโลก,
425,Yaoi,นิยาย Boy Love Lovely Room,29,การที่ผมได้รับงานนอกที่คนทั่วไปไม่สามารถเข้าได้ แปลว่างานที่ผมรับมันผิดกฎหมายใช่ไหมละครับ ถูกต้องคร,75,จบ,0.0,https://cdn.readawrite.com/articles/439/438200/thumbnail/,22,"18+,Boy Love/Yaoi,ตลก,มาเฟีย,นิยายโรแมนติก,นิยายแฟนตาซี",หลงยั่วใส่เจ้าพ่อมาเฟีย| Sector watermelon(5p),https://www.readawrite.com/a/bza7p0,"2,105",หลงยั่วใส่เจ้าพ่อมาเฟีย,
426,Drhibari Kyoya,นิยาย Boy Love Lovely Room,35,เมื่อต่างฝ่ายต่างเกลียดชัง แต่ปิดความรู้สึกที่แท้จริงของตน มีเพียงพระเจ้าเท่านั้น ที่จะสามารถรับรู้ค,46,จบ,6.0,https://cdn.readawrite.com/articles/438/437642/thumbnail/,24,"Fanfic Punica,ภามxรามิล,การินxวงกต,ธาวิศxตะโขน,อคินxแคปเปอร์,วัตสันxโฮล์ม",Forbidden Love ความรักของคนไร้หัวใจ,https://www.readawrite.com/a/bza792,"3,252",ความรักของคนไร้หัวใจ,
427,เกล็ดฝน,นิยาย Boy Love Lovely Room,186,เมื่อหนุ่มศิลปกรรมดันอยากมาพักในหอในกลางเทอม ดันเลือกไม่ได้ด้วยสิ ว่าจะได้พักกับใคร จะเรียกว่าโชคชะต,409,จบ,43.0,https://cdn.readawrite.com/articles/440/439574/thumbnail/,69,"Boy Love/Yaoi,นิยายรัก,ดราม่า",Sorry ครับ ผมตกหลุมรักนายรูมเมท 1+2,https://www.readawrite.com/a/bza8t9,"55,668",ครับผมตกหลุมรักนายรูมเมท,
428,you are mine,นิยาย Boy Love Lovely Room,0,เมื่อคืน ม...มันเกิดอะไรขึ้น........,4,จบ,0.0,https://cdn.readawrite.com/articles/484/483910/thumbnail/,0,"Boy Love/Yaoi,โรงเรียน,แพทย์,นิยายโรแมนติก,นิยายรัก,ชาย ชาย",Friends lover ฉันขอนายนะเพื่อน,https://www.readawrite.com/a/bzba10,158,ฉันขอนายนะเพื่อน,
429,인화 อินฮวา,นิยาย Boy Love Lovely Room,99,เพื่อนรักกันต้องดูแลกันเป็นอย่างดี แต่ใครจะรู้ว่าแท้จริงแล้วที่ทำไปทั้งหมดนั้นเขาเพื่อหวังผลตอบแทนที,237,จบ,21.0,https://cdn.readawrite.com/articles/507/506722/thumbnail/,47,,My Deer กวางน้อยของน้ำตาล (เคะxเคะ),https://www.readawrite.com/a/bzbsmr,"11,688",กวางน้อยของน้ำตาล,
430,ใยดี,นิยาย Boy Love Lovely Room,235,"ผมเป็นคุณครูของร.ร.ที่ดีคนน่ารักสวยหล่อแต่ผมดันได้ฉายา""แมวโหด""ล่ะสิแต่ที่โมโหก็คือมีเด็ก4คนไม่ฟังผมเ","1,195",จบ,10.0,https://cdn.readawrite.com/articles/512/511788/thumbnail/,177,,เมื่อคุณครูโดนนักเรียน4คนทำโทษ,https://www.readawrite.com/a/bzbwri,"75,324",เมื่อคุณครูโดนนักเรียน,
431,Cha_mon,นิยาย Boy Love Lovely Room,31,(ทดลองอ่าน) “ไปยิ้มให้มันทำไม?” แสงโสมกระชากเสียงห้วนถามคนตัวเล็กกว่าที่เดินเข้ามาหาตนเอ,311,จบ,25.0,https://cdn.readawrite.com/articles/472/471924/thumbnail/,28,Boy love / Yaoi / ชายรักชาย,ควอนเมียรักของพี่บิ๊ก(I\'m yours),https://www.readawrite.com/a/bzb08j,"23,815",ควอนเมียรักของพี่บิ๊ก,
432,สล็อด,นิยาย Boy Love Secret Room,5,ผมเกิดมาในครอบครัวธรรมดาแต่ทำไมผมถึงได้มีสิ่งพิเศษสิ่งที่คนกว่า10ล้านคนไม่มีสิ่งที่คนบางคนที่เเสนจะช,39,จบ,4.0,https://cdn.readawrite.com/articles/476/475607/thumbnail/,2,,คำสาปรัก โซ่ตรวนหัวใจ,https://www.readawrite.com/a/bzb38r,"1,682",คำสาปรักโซ่ตรวนหัวใจ,
433,tengsunn,นิยาย Boy Love Lovely Room,158,เขาก็แค่อยู่ในโลกของเขา โลกที่มีเพื่อน พี่ และหมา ส่วนเขาก็อยู่ในโลกของเขาเหมือนกัน แต่ทำไม...เหมือน,455,จบ,41.0,https://cdn.readawrite.com/articles/476/475614/thumbnail/,79,,มกราเป็นของผม,https://www.readawrite.com/a/bzb38y,"35,749",มกราเป็นของผม,
434,green tea SweeT,นิยาย Boy Love Lovely Room,2,ก้อนเมฆก็ต้องอยู่บนท้องฟ้าสิเพราะถ้าไม่มีก้อนเมฆประดับบนท้อง ท้องฟ้าก็จะโดดเดี่ยวสิ(ปุนเมฆ) ท้องฟ้าม,4,จบ,0.0,https://cdn.readawrite.com/articles/477/476971/thumbnail/,1,"Boy Love/Yaoi,ดราม่า,ตลก,SM,นิยายรัก,นิยายโรแมนติก,โรงเรียน",ก้อนเมฆบนท้องฟ้า#yoonmin,https://www.readawrite.com/a/bzb4cq,147,ก้อนเมฆบนท้องฟ้า,
435,ลูซิน,นิยาย Boy Love Lovely Room,"3,296",เขา--ไป๋จื่อเซี่ยวเป็นเพียงลูกหลานอนุ ใครต่อใครว่ากันว่าลูกหลานอนุย่อมมีชาติกำเนิดเป็นอนุ อยู่หรือตา,"7,173",จบ,32.0,https://cdn.readawrite.com/articles/481/480002/thumbnail/,"1,427","นิยายจีนโบราณ,นิยายรัก,แม่ทัพ,Boy Love/Yaoi,วายจีนโบราณ,จักรวาลต้าหยวน,ลูซิน",หมื่นลิขิต หนึ่งบุพเพ [Nabu Publishing] *ตัวอย่าง*,https://www.readawrite.com/a/bzb6tc,"447,390",หมื่นลิขิตหนึ่งบุพเพ,
